District,polsby_popper,reock
1,0.38835181562751364,0.6232320378532757
2,0.2515138888078664,0.48908423492260666
3,0.23504902489310853,0.5384994190682919
4,0.2719893232644503,0.5160113020230105
5,0.24629514445955542,0.4246891633676875
6,0.15173077727484405,0.466277819277725
7,0.20175479293881338,0.6666794713780737
8,0.10689100030251401,0.5436749469341453
9,0.1617681353554521,0.48470034864372846
10,0.11449022073726489,0.614221166114598
11,0.207743309247779,0.7530652948984999
12,0.1743332977717134,0.6352120087300592
